City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Bluff,-46.6,168.33,45.0,72,36,11.01,NZ,scattered clouds
1,Thompson,55.74,-97.86,51.8,93,90,6.93,CA,overcast clouds
2,Port Alfred,-33.59,26.89,59.61,68,0,10.96,ZA,clear sky
3,Namibe,-15.2,12.15,61.86,80,25,11.99,AO,scattered clouds
4,Tabou,4.42,-7.35,78.06,81,94,12.39,CI,overcast clouds
5,Trincomalee,8.57,81.23,82.02,71,82,8.3,LK,broken clouds
6,Cabo San Lucas,22.89,-109.91,78.01,88,90,2.24,MX,overcast clouds
7,Lebu,-37.62,-73.65,50.04,93,100,20.29,CL,overcast clouds
8,Butaritari,3.07,172.79,82.63,72,99,13.11,KI,overcast clouds
9,Khatanga,71.97,102.5,55.38,58,69,5.73,RU,broken clouds
10,Mataura,-46.19,168.86,45.0,72,45,11.01,NZ,scattered clouds
11,Boa Vista,2.82,-60.67,89.6,55,75,3.36,BR,broken clouds
12,Guerrero Negro,27.98,-114.06,85.69,51,17,4.34,MX,few clouds
13,Saskylakh,71.92,114.08,51.53,65,2,3.04,RU,clear sky
14,Atuona,-9.8,-139.03,77.86,79,43,20.67,PF,light rain
15,Jacqueville,5.21,-4.41,80.6,78,75,11.41,CI,broken clouds
16,Sao Filipe,14.9,-24.5,79.07,82,89,4.14,CV,light rain
17,Coihaique,-45.58,-72.07,37.4,47,75,5.82,CL,shower rain
18,Constitucion,-35.33,-72.42,52.81,70,98,14.63,CL,overcast clouds
19,Sioux Lookout,50.1,-91.92,59.0,93,90,4.7,CA,shower rain
20,Hobart,-42.88,147.33,53.01,62,81,8.05,AU,broken clouds
21,Luanda,-8.84,13.23,75.2,78,40,10.29,AO,scattered clouds
22,Adrar,20.5,-10.07,106.83,12,40,8.86,MR,scattered clouds
23,Mar Del Plata,-38.0,-57.56,64.4,45,30,9.17,AR,scattered clouds
24,Ilulissat,69.22,-51.1,44.6,45,20,11.41,GL,few clouds
25,Port Elizabeth,-33.92,25.57,59.0,58,4,12.75,ZA,clear sky
26,Punta Arenas,-53.15,-70.92,32.0,87,20,28.86,CL,few clouds
27,Pathein,16.78,94.73,79.12,90,96,4.45,MM,overcast clouds
28,Muravlenko,63.79,74.52,56.7,93,96,4.34,RU,moderate rain
29,Tuatapere,-46.13,167.68,45.0,72,17,11.01,NZ,few clouds
30,Cape Town,-33.93,18.42,55.0,76,75,10.29,ZA,light rain
31,Isangel,-19.55,169.27,74.44,84,19,13.76,VU,light rain
32,Barrow,71.29,-156.79,37.4,88,90,11.41,US,overcast clouds
33,East London,-33.02,27.91,60.8,72,20,4.7,ZA,few clouds
34,Hasaki,35.73,140.83,79.0,94,20,4.7,JP,few clouds
35,Nemuro,43.32,145.57,67.75,95,35,8.03,JP,scattered clouds
36,Viedma,-40.81,-63.0,60.01,41,44,4.0,AR,scattered clouds
37,Lompoc,34.64,-120.46,57.2,87,90,7.09,US,mist
38,Jalu,29.03,21.55,90.81,25,0,9.06,LY,clear sky
39,Jamestown,42.1,-79.24,72.0,100,90,4.7,US,overcast clouds
40,Naze,28.37,129.48,80.6,100,4,2.24,JP,clear sky
41,Tilichiki,60.47,166.1,43.0,88,100,9.17,RU,overcast clouds
42,Healdsburg,38.61,-122.87,63.0,100,90,3.04,US,mist
43,Bull Savanna,17.89,-77.59,86.0,64,6,9.04,JM,clear sky
44,Mahebourg,-20.41,57.7,73.4,73,75,10.29,MU,broken clouds
45,Dikson,73.51,80.55,50.07,78,13,9.19,RU,few clouds
46,Tasiilaq,65.61,-37.64,42.8,70,75,6.93,GL,broken clouds
47,Saint-Philippe,-21.36,55.77,73.4,64,90,4.7,RE,overcast clouds
48,Manta,-0.95,-80.73,77.0,78,90,3.36,EC,overcast clouds
49,Jurm,36.86,70.83,63.21,43,0,1.79,AF,clear sky
50,Carnarvon,-24.87,113.63,66.2,88,2,12.75,AU,clear sky
51,Vaini,-21.2,-175.2,73.4,88,40,8.05,TO,scattered clouds
52,Mvuma,-19.28,30.53,72.82,21,13,0.27,ZW,few clouds
53,Avarua,-21.21,-159.78,69.8,94,99,1.12,CK,light rain
54,Busselton,-33.65,115.33,52.0,69,4,18.81,AU,clear sky
55,Havre-Saint-Pierre,50.23,-63.6,53.6,71,90,20.8,CA,overcast clouds
56,Graaff-Reinet,-32.25,24.53,60.01,29,0,1.99,ZA,clear sky
57,Inuvik,68.35,-133.72,42.8,70,20,9.17,CA,few clouds
58,Rikitea,-23.12,-134.97,67.71,66,3,1.34,PF,clear sky
59,Longyearbyen,78.22,15.64,35.6,91,90,9.17,SJ,sleet
60,Pallasovka,50.05,46.88,70.75,57,94,11.18,RU,overcast clouds
61,Kupang,-10.17,123.58,75.07,65,0,12.41,ID,clear sky
62,Marystown,47.17,-55.15,66.0,100,67,7.0,CA,broken clouds
63,Bang Sao Thong,13.6,100.83,84.99,100,20,2.06,TH,few clouds
64,Margate,51.38,1.39,61.0,79,75,1.01,GB,light rain
65,Lorengau,-2.02,147.27,82.96,77,90,11.86,PG,light rain
66,Cockburn Town,21.46,-71.14,86.0,70,40,11.41,TC,scattered clouds
67,Wanganui,-39.93,175.05,51.01,73,15,5.99,NZ,few clouds
68,Saldanha,-33.01,17.94,55.4,76,71,4.7,ZA,broken clouds
69,Dillon,34.42,-79.37,91.0,70,40,8.05,US,scattered clouds
70,Vestmannaeyjar,63.44,-20.27,51.8,81,75,19.46,IS,broken clouds
71,Davenport,41.52,-90.58,87.8,58,1,6.93,US,clear sky
72,Kaitangata,-46.28,169.85,44.01,73,46,8.01,NZ,scattered clouds
73,Henties Bay,-22.12,14.28,60.01,72,0,11.99,NA,clear sky
74,Fortuna,40.6,-124.16,57.2,93,1,5.82,US,clear sky
75,Qaanaaq,77.48,-69.36,39.78,88,100,9.06,GL,light rain
76,Marfino,55.7,37.38,63.0,72,95,8.95,RU,overcast clouds
77,San Quintin,30.48,-115.95,78.42,63,0,8.63,MX,clear sky
78,Port Shepstone,-30.74,30.45,63.59,73,9,6.42,ZA,clear sky
79,Megion,61.03,76.11,62.6,77,40,8.95,RU,scattered clouds
80,Iqaluit,63.75,-68.51,55.4,47,75,13.87,CA,broken clouds
81,Kapaa,22.08,-159.32,71.01,75,90,14.99,US,heavy intensity rain
82,Krasnoselkup,65.7,82.47,54.48,80,58,1.23,RU,broken clouds
83,Puerto Ayora,-0.74,-90.35,69.8,77,75,16.11,EC,broken clouds
84,Yellowknife,62.46,-114.35,50.0,100,90,9.17,CA,light rain
85,Clyde River,70.47,-68.59,51.8,71,20,13.87,CA,few clouds
86,Aswan,24.09,32.91,92.35,16,0,7.52,EG,clear sky
87,Ushuaia,-54.8,-68.3,33.8,86,75,29.97,AR,light shower snow
88,Flinders,-34.58,150.86,50.0,77,0,1.01,AU,clear sky
89,Ribeira Grande,38.52,-28.7,77.0,88,40,14.99,PT,scattered clouds
90,Khasan,42.43,130.64,71.22,96,46,2.75,RU,scattered clouds
91,Egvekinot,66.32,-179.17,42.48,85,84,11.23,RU,broken clouds
92,Bredasdorp,-34.53,20.04,53.6,81,95,9.17,ZA,light rain
93,Castro,-24.79,-50.01,77.43,41,0,4.83,BR,clear sky
94,Chokurdakh,70.63,147.92,37.44,90,96,6.98,RU,overcast clouds
95,Hithadhoo,-0.6,73.08,78.62,73,100,11.54,MV,overcast clouds
96,Acapulco,16.86,-99.89,84.2,70,40,6.93,MX,scattered clouds
97,Wasilla,61.58,-149.44,45.0,100,1,1.03,US,clear sky
98,Kpalime,6.9,0.63,78.39,83,72,4.56,TG,light rain
99,Luderitz,-26.65,15.16,57.33,71,0,13.69,NA,clear sky
100,Hambantota,6.12,81.12,81.09,76,96,16.6,LK,overcast clouds
101,Saint George,37.1,-113.58,89.01,21,1,3.36,US,clear sky
102,Emba,48.83,58.14,81.05,24,88,5.53,KZ,overcast clouds
103,Zhangye,38.93,100.45,64.53,42,100,21.97,CN,light rain
104,Vostok,46.49,135.88,63.84,100,100,4.5,RU,overcast clouds
105,Mackay,-21.15,149.2,53.6,87,0,6.93,AU,clear sky
106,Bandarbeyla,9.49,50.81,76.26,80,85,30.04,SO,overcast clouds
107,Fukue,32.69,128.84,82.15,85,6,14.92,JP,clear sky
108,Hermanus,-34.42,19.23,51.01,85,82,8.99,ZA,light rain
109,Sinnamary,5.38,-52.95,86.58,62,66,5.95,GF,broken clouds
110,Acarau,-2.89,-40.12,87.94,46,0,20.98,BR,clear sky
111,Leh,34.17,77.58,58.21,38,24,5.68,IN,few clouds
112,Bathsheba,13.22,-59.52,87.8,70,40,20.8,BB,scattered clouds
113,Arrecife,28.96,-13.55,84.2,58,20,25.28,ES,few clouds
114,Lucea,18.45,-78.17,89.01,74,20,17.22,JM,few clouds
115,Puyang,29.46,119.89,72.32,91,97,1.52,CN,overcast clouds
116,Klaksvik,62.23,-6.59,50.0,71,97,11.41,FO,overcast clouds
117,Vao,-22.67,167.48,67.62,92,99,18.41,NC,overcast clouds
118,Poum,-20.23,164.02,70.86,82,89,14.81,NC,overcast clouds
119,Shetpe,44.17,52.12,79.16,19,87,1.14,KZ,overcast clouds
120,Matara,5.95,80.54,79.81,81,45,9.6,LK,scattered clouds
121,Tashtyp,52.79,89.9,54.41,89,100,4.61,RU,overcast clouds
122,Dongsheng,39.82,109.98,68.14,40,26,6.17,CN,scattered clouds
123,Tazmalt,36.39,4.4,89.6,55,40,4.7,DZ,scattered clouds
124,Lagoa,39.05,-27.98,74.39,88,14,16.35,PT,few clouds
125,Vestmanna,62.16,-7.17,50.0,71,95,11.41,FO,overcast clouds
126,Topeka,39.05,-95.68,90.0,62,1,6.93,US,clear sky
127,Terrace,54.52,-128.6,53.6,93,90,8.05,CA,light intensity shower rain
128,Avera,33.19,-82.53,87.8,70,75,8.05,US,broken clouds
129,Ibaiti,-23.85,-50.19,76.69,51,0,3.33,BR,clear sky
130,Port Blair,11.67,92.75,82.27,72,84,5.12,IN,broken clouds
131,Dovers,12.88,-61.18,87.8,70,20,10.29,VC,few clouds
132,Desert Hot Springs,33.96,-116.5,100.99,16,1,3.36,US,clear sky
133,Cidreira,-30.18,-50.21,68.65,76,34,1.77,BR,scattered clouds
134,Pozo Colorado,-23.49,-58.8,98.42,25,0,8.97,PY,clear sky
135,Requena,39.49,-1.1,93.99,11,58,1.99,ES,broken clouds
136,Cortland,42.6,-76.08,71.6,60,75,5.82,US,broken clouds
137,Bereznik,62.86,42.71,55.44,71,100,6.76,RU,light rain
138,Fenoarivo,-18.93,47.44,60.8,77,20,9.17,MG,few clouds
139,Rawlins,41.79,-107.24,66.2,42,1,12.75,US,clear sky
140,Hilo,19.73,-155.09,69.8,83,75,6.93,US,broken clouds
141,Touros,-5.2,-35.46,84.2,62,40,13.87,BR,scattered clouds
142,Angoram,-4.06,144.07,73.53,99,98,2.24,PG,overcast clouds
143,Tuktoyaktuk,69.45,-133.04,41.0,86,20,13.87,CA,few clouds
144,Touba,8.28,-7.68,76.06,90,80,6.35,CI,moderate rain
145,Barra Do Garcas,-15.89,-52.26,99.34,9,78,5.91,BR,broken clouds
146,Mariental,-24.63,17.97,61.0,25,0,9.98,NA,clear sky
147,Hun,29.13,15.95,90.05,20,0,4.41,LY,clear sky
148,Talaya,61.38,152.75,36.7,86,74,4.52,RU,broken clouds
149,Hovd,48.01,91.64,53.1,66,100,1.79,MN,overcast clouds
150,Kargil,34.57,76.1,56.34,49,52,7.34,IN,broken clouds
151,Chapais,49.78,-74.85,57.2,58,75,10.29,CA,broken clouds
152,Cherskiy,68.75,161.3,36.63,92,10,5.84,RU,clear sky
153,Aasiaat,68.71,-52.87,40.86,68,4,12.33,GL,clear sky
154,Awbari,26.59,12.78,98.29,12,0,7.23,LY,clear sky
155,San Joaquin,10.26,-67.79,84.2,69,19,2.17,VE,few clouds
156,Lewiston,44.1,-70.21,72.0,46,1,5.95,US,clear sky
157,Mumbwa,-14.98,27.06,75.4,30,60,3.85,ZM,broken clouds
158,Morondava,-20.28,44.28,75.34,84,0,13.27,MG,clear sky
159,Bowen,-20.02,148.23,59.0,82,40,8.05,AU,scattered clouds
160,Pevek,69.7,170.31,38.84,87,19,2.06,RU,few clouds
161,Connersville,39.64,-85.14,82.99,82,99,3.0,US,light rain
162,Channel-Port Aux Basques,47.57,-59.14,59.52,72,25,26.91,CA,scattered clouds
163,Bani Walid,31.76,13.99,91.96,20,0,8.01,LY,clear sky
164,Conceicao Do Araguaia,-8.26,-49.26,107.53,14,98,2.3,BR,overcast clouds
165,Bambous Virieux,-20.34,57.76,73.4,73,75,10.29,MU,broken clouds
166,Anadyr,64.75,177.48,46.4,93,75,2.24,RU,broken clouds
167,Upernavik,72.79,-56.15,41.41,66,0,13.87,GL,clear sky
