City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2020-08-28 18:12:08,-53.15,-70.92,32.0,88,20,36.91
1,Vaini,TO,2020-08-28 18:12:08,-21.2,-175.2,73.4,88,40,10.29
2,Lagoa,PT,2020-08-28 18:12:09,39.05,-27.98,74.28,90,11,17.78
3,Port Elizabeth,ZA,2020-08-28 18:12:09,-33.92,25.57,57.2,67,4,14.99
4,Hilo,US,2020-08-28 18:08:41,19.73,-155.09,75.99,73,1,3.36
5,Homer,US,2020-08-28 18:12:09,59.64,-151.55,54.0,100,90,5.82
6,New Norfolk,AU,2020-08-28 18:12:10,-42.78,147.06,54.0,64,99,1.99
7,Atuona,PF,2020-08-28 18:12:10,-9.8,-139.03,77.88,79,48,21.47
8,Razdolnoye,RU,2020-08-28 18:12:10,43.55,131.92,71.6,100,40,0.47
9,Ribeira Grande,PT,2020-08-28 18:12:10,38.52,-28.7,77.0,88,40,11.41
10,Qaanaaq,GL,2020-08-28 18:12:10,77.48,-69.36,39.94,88,100,8.48
11,Bluff,NZ,2020-08-28 18:12:11,-46.6,168.33,45.0,72,40,11.01
12,Rikitea,PF,2020-08-28 18:12:11,-23.12,-134.97,67.93,66,3,2.39
13,Padang,ID,2020-08-28 18:12:11,-0.95,100.35,77.81,79,75,3.87
14,Veraval,IN,2020-08-28 18:11:56,20.9,70.37,81.03,87,100,14.36
15,Vostok,RU,2020-08-28 18:12:12,46.49,135.88,61.47,100,100,5.39
16,Zonguldak,TR,2020-08-28 18:12:12,41.25,31.83,61.59,61,0,2.64
17,Westport,US,2020-08-28 18:12:12,41.14,-73.36,84.0,57,75,6.93
18,Kutum,SD,2020-08-28 18:12:12,14.2,24.67,79.12,55,79,9.51
19,Faanui,PF,2020-08-28 18:12:13,-16.48,-151.75,76.51,80,28,22.1
20,Mataura,NZ,2020-08-28 18:12:13,-46.19,168.86,45.0,72,37,11.01
21,Sonderso,DK,2020-08-28 18:12:13,55.49,10.26,66.0,93,87,5.82
22,Kapaa,US,2020-08-28 18:11:11,22.08,-159.32,77.0,88,90,4.7
23,Castro,BR,2020-08-28 18:12:14,-24.79,-50.01,77.14,44,0,4.68
24,Aksu,CN,2020-08-28 18:12:14,41.12,80.26,73.33,31,38,7.07
25,Oistins,BB,2020-08-28 18:12:02,13.07,-59.53,87.8,70,40,19.46
26,Bredasdorp,ZA,2020-08-28 18:12:14,-34.53,20.04,51.8,76,86,10.29
